simTime,MCCIndex,specWeatherModel,cloudCover,cloudHeight
7.3,0,45.3598,2,1
7.30001,0,45.3598,2,1
7.3,1,17.9229,1,1.09207
7.30001,1,17.9229,1,1
7.3,2,33.4019,2,1
7.30001,2,33.4019,2,3.61028
7.3,3,0,0,2.88589
7.30001,3,0,0,1
7.3,4,24.9556,1,1
7.30001,4,11.2722,1,1.40561
7.4,0,45.3598,2,1
7.40001,0,45.3598,2,1
7.4,1,17.9229,1,1
7.40001,1,0,0,1
7.4,2,33.4019,2,3.61028
7.40001,2,33.4019,2,3.05132
7.4,3,0,0,1
7.40001,3,0,0,1
7.4,4,11.2722,1,1.40561
7.40001,4,24.1335,1,1
7.5,0,45.3598,2,1
7.50001,0,34.9337,2,2.98047
7.5,1,0,0,1
7.50001,1,0,0,1
7.5,2,33.4019,2,3.05132
7.50001,2,33.4019,2,2.57005
7.5,3,0,0,1
7.50001,3,0,0,1
7.5,4,24.1335,1,1
7.50001,4,24.1335,1,1
7.6,0,34.9337,2,2.98047
7.60001,0,30.8983,2,1
7.6,1,0,0,1
7.60001,1,0,0,3.8569
7.6,2,33.4019,2,2.57005
7.60001,2,14.9114,1,1
7.6,3,0,0,1
7.60001,3,0,0,1
7.6,4,24.1335,1,1
7.60001,4,39.0642,2,3.35875
7.7,0,30.8983,2,1
7.70001,0,36.4782,2,1
7.7,1,0,0,3.8569
7.70001,1,0,0,4.40107
7.7,2,14.9114,1,1
7.70001,2,21.3719,1,4.47423
7.7,3,0,0,1
7.70001,3,0,0,2.3016
7.7,4,39.0642,2,3.35875
7.70001,4,39.0642,2,1
7.8,0,36.4782,2,1
7.80001,0,32.9895,2,2.11584
7.8,1,0,0,4.40107
7.80001,1,9.56571,1,4.05392
7.8,2,21.3719,1,4.47423
7.80001,2,28.317,2,1
7.8,3,0,0,2.3016
7.80001,3,0,0,1
7.8,4,39.0642,2,1
7.80001,4,39.0642,2,1
7.9,0,32.9895,2,2.11584
7.90001,0,32.9895,2,1
7.9,1,9.56571,1,4.05392
7.90001,1,9.56571,1,1
7.9,2,28.317,2,1
7.90001,2,28.317,2,1
7.9,3,0,0,1
7.90001,3,0,0,1
7.9,4,39.0642,2,1
7.90001,4,33.1975,2,1
8,0,32.9895,2,1
8.00001,0,32.9895,2,1
8,1,9.56571,1,1
8.00001,1,9.56571,1,1
8,2,28.317,2,1
8.00001,2,28.317,2,1
8,3,0,0,1
8.00001,3,0,0,1
8,4,33.1975,2,1
8.00001,4,33.1975,2,1
8.1,0,32.9895,2,1
8.10001,0,17.1032,1,1
8.1,1,9.56571,1,1
8.10001,1,9.56571,1,4.52831
8.1,2,28.317,2,1
8.10001,2,21.6447,1,1
8.1,3,0,0,1
8.10001,3,0,0,1
8.1,4,33.1975,2,1
8.10001,4,33.1975,2,4.86225
8.2,0,17.1032,1,1
8.20001,0,17.1032,1,2.04474
8.2,1,9.56571,1,4.52831
8.20001,1,9.56571,1,3.07361
8.2,2,21.6447,1,1
8.20001,2,21.6447,1,2.45038
8.2,3,0,0,1
8.20001,3,0,0,1
8.2,4,33.1975,2,4.86225
8.20001,4,33.1975,2,1
8.3,0,17.1032,1,2.04474
8.30001,0,17.1032,1,1
8.3,1,9.56571,1,3.07361
8.30001,1,9.56571,1,3.151
8.3,2,21.6447,1,2.45038
8.30001,2,35.9617,2,1
8.3,3,0,0,1
8.30001,3,0,0,1
8.3,4,33.1975,2,1
8.30001,4,33.1975,2,1
8.4,0,17.1032,1,1
8.40001,0,17.1032,1,1
8.4,1,9.56571,1,3.151
8.40001,1,9.56571,1,2.87929
8.4,2,35.9617,2,1
8.40001,2,31.8544,2,1
8.4,3,0,0,1
8.40001,3,0,0,3.00996
8.4,4,33.1975,2,1
8.40001,4,33.1975,2,1
8.5,0,17.1032,1,1
8.50001,0,23.8895,1,2.48664
8.5,1,9.56571,1,2.87929
8.50001,1,9.56571,1,1
8.5,2,31.8544,2,1
8.50001,2,31.8544,2,1
8.5,3,0,0,3.00996
8.50001,3,0,0,4.88113
8.5,4,33.1975,2,1
8.50001,4,33.1975,2,1
8.6,0,23.8895,1,2.48664
8.60001,0,23.8895,1,1
8.6,1,9.56571,1,1
8.60001,1,21.7168,1,1
8.6,2,31.8544,2,1
8.60001,2,31.8544,2,2.34685
8.6,3,0,0,4.88113
8.60001,3,0,0,2.35693
8.6,4,33.1975,2,1
8.60001,4,33.1975,2,3.8901
8.7,0,23.8895,1,1
8.70001,0,23.8895,1,1
8.7,1,21.7168,1,1
8.70001,1,10.6314,1,1
8.7,2,31.8544,2,2.34685
8.70001,2,31.8544,2,1
8.7,3,0,0,2.35693
8.70001,3,0,0,4.9452
8.7,4,33.1975,2,3.8901
8.70001,4,33.1975,2,1
8.8,0,23.8895,1,1
8.80001,0,23.8895,1,1
8.8,1,10.6314,1,1
8.80001,1,10.7463,1,1.28076
8.8,2,31.8544,2,1
8.80001,2,31.8544,2,2.17935
8.8,3,0,0,4.9452
8.80001,3,0,0,3.28432
