simTime,MCCIndex,specWeatherModel,cloudCover
8.60001,4,35.7137,2
8.7,0,14.7367,1
8.70001,0,14.7367,1
8.7,1,0,0
8.70001,1,0,0
8.7,2,52.794,2
8.70001,2,46.2182,2
8.7,3,1.96365,0
8.70001,3,0,0
8.7,4,35.7137,2
8.70001,4,35.7137,2
8.8,0,14.7367,1
8.80001,0,12.8117,1
8.8,1,0,0
8.80001,1,0,0
8.8,2,46.2182,2
8.80001,2,49.4977,2
8.8,3,0,0
8.80001,3,0,0
8.8,4,35.7137,2
8.80001,4,50.4494,2
8.9,0,12.8117,1
8.90001,0,0,0
8.9,1,0,0
8.90001,1,0,0
8.9,2,49.4977,2
8.90001,2,49.4977,2
8.9,3,0,0
8.90001,3,0,0
8.9,4,50.4494,2
8.90001,4,36.1982,2
9,0,0,0
9.00001,0,0,0
9,1,0,0
9.00001,1,0,0
9,2,49.4977,2
9.00001,2,49.4977,2
9,3,0,0
9.00001,3,0,0
9,4,36.1982,2
9.00001,4,36.1982,2
9.1,0,0,0
9.10001,0,0,0
9.1,1,0,0
9.10001,1,0,0
9.1,2,49.4977,2
9.10001,2,49.4977,2
9.1,3,0,0
9.10001,3,6.9375,1
9.1,4,36.1982,2
9.10001,4,36.1982,2
9.2,0,0,0
9.20001,0,0,0
9.2,1,0,0
9.20001,1,0,0
9.2,2,49.4977,2
9.20001,2,62.3092,2
9.2,3,6.9375,1
9.20001,3,6.9375,1
9.2,4,36.1982,2
9.20001,4,38.7241,2
9.3,0,0,0
9.30001,0,0,0
9.3,1,0,0
9.30001,1,0,0
9.3,2,62.3092,2
9.30001,2,62.3092,2
9.3,3,6.9375,1
9.30001,3,6.9375,1
9.3,4,38.7241,2
9.30001,4,40.9693,2
9.4,0,0,0
9.40001,0,0,0
9.4,1,0,0
9.40001,1,0,0
9.4,2,62.3092,2
9.40001,2,62.3092,2
9.4,3,6.9375,1
9.40001,3,1.52079,0
9.4,4,40.9693,2
9.40001,4,40.9693,2
9.5,0,0,0
9.50001,0,0,0
9.5,1,0,0
9.50001,1,0,0
9.5,2,62.3092,2
9.50001,2,58.6824,2
9.5,3,1.52079,0
9.50001,3,15.8733,1
9.5,4,40.9693,2
9.50001,4,40.9693,2
9.6,0,0,0
9.60001,0,0,0
9.6,1,0,0
9.60001,1,0,0
9.6,2,58.6824,2
9.60001,2,58.6824,2
9.6,3,15.8733,1
9.60001,3,15.8733,1
9.6,4,40.9693,2
9.60001,4,40.9693,2
9.7,0,0,0
9.70001,0,0,0
9.7,1,0,0
9.70001,1,0,0
9.7,2,58.6824,2
9.70001,2,58.6824,2
9.7,3,15.8733,1
9.70001,3,2.28341,0
9.7,4,40.9693,2
9.70001,4,33.1509,2
9.8,0,0,0
9.80001,0,0,0
9.8,1,0,0
9.80001,1,0,0
9.8,2,58.6824,2
9.80001,2,62.377,2
9.8,3,2.28341,0
9.80001,3,2.28341,0
9.8,4,33.1509,2
9.80001,4,40.9204,2
9.9,0,0,0
9.90001,0,0,0
9.9,1,0,0
9.90001,1,0,0
9.9,2,62.377,2
9.90001,2,62.377,2
9.9,3,2.28341,0
9.90001,3,6.93238,1
9.9,4,40.9204,2
9.90001,4,40.9204,2
10,0,0,0
10.00001,0,0,0
10,1,0,0
10.00001,1,0,0
10,2,62.377,2
10.00001,2,62.377,2
10,3,6.93238,1
10.00001,3,6.93238,1
10,4,40.9204,2
10.00001,4,52.9512,2
10.1,0,0,0
10.10001,0,0,0
10.1,1,0,0
10.10001,1,0,0
10.1,2,62.377,2
10.10001,2,62.377,2
10.1,3,6.93238,1
10.10001,3,17.1009,1
10.1,4,52.9512,2
